    | Name                                                                                | Type                                | Params
----------------------------------------------------------------------------------------------------------------------------------------------
0   | model                                                                               | MAF                                 | 4.5 K 
1   | model.ts_model                                                                      | TrendModel                          | 12    
2   | model.flow                                                                          | MaskedAutoregressiveFlow            | 4.2 K 
3   | model.flow._transform                                                               | CompositeTransform                  | 4.2 K 
4   | model.flow._transform._transforms                                                   | ModuleList                          | 4.2 K 
5   | model.flow._transform._transforms.0                                                 | ReversePermutation                  | 0     
6   | model.flow._transform._transforms.1                                                 | MaskedAffineAutoregressiveTransform | 1.0 K 
7   | model.flow._transform._transforms.1.autoregressive_net                              | MADE                                | 1.0 K 
8   | model.flow._transform._transforms.1.autoregressive_net.initial_layer                | MaskedLinear                        | 56    
9   | model.flow._transform._transforms.1.autoregressive_net.blocks                       | ModuleList                          | 880   
10  | model.flow._transform._transforms.1.autoregressive_net.blocks.0                     | MaskedResidualBlock                 | 176   
11  | model.flow._transform._transforms.1.autoregressive_net.blocks.0.batch_norm_layers   | ModuleList                          | 32    
12  | model.flow._transform._transforms.1.autoregressive_net.blocks.0.batch_norm_layers.0 | BatchNorm1d                         | 16    
13  | model.flow._transform._transforms.1.autoregressive_net.blocks.0.batch_norm_layers.1 | BatchNorm1d                         | 16    
14  | model.flow._transform._transforms.1.autoregressive_net.blocks.0.linear_layers       | ModuleList                          | 144   
15  | model.flow._transform._transforms.1.autoregressive_net.blocks.0.linear_layers.0     | MaskedLinear                        | 72    
16  | model.flow._transform._transforms.1.autoregressive_net.blocks.0.linear_layers.1     | MaskedLinear                        | 72    
17  | model.flow._transform._transforms.1.autoregressive_net.blocks.0.dropout             | Dropout                             | 0     
18  | model.flow._transform._transforms.1.autoregressive_net.blocks.1                     | MaskedResidualBlock                 | 176   
19  | model.flow._transform._transforms.1.autoregressive_net.blocks.1.batch_norm_layers   | ModuleList                          | 32    
20  | model.flow._transform._transforms.1.autoregressive_net.blocks.1.batch_norm_layers.0 | BatchNorm1d                         | 16    
21  | model.flow._transform._transforms.1.autoregressive_net.blocks.1.batch_norm_layers.1 | BatchNorm1d                         | 16    
22  | model.flow._transform._transforms.1.autoregressive_net.blocks.1.linear_layers       | ModuleList                          | 144   
23  | model.flow._transform._transforms.1.autoregressive_net.blocks.1.linear_layers.0     | MaskedLinear                        | 72    
24  | model.flow._transform._transforms.1.autoregressive_net.blocks.1.linear_layers.1     | MaskedLinear                        | 72    
25  | model.flow._transform._transforms.1.autoregressive_net.blocks.1.dropout             | Dropout                             | 0     
26  | model.flow._transform._transforms.1.autoregressive_net.blocks.2                     | MaskedResidualBlock                 | 176   
27  | model.flow._transform._transforms.1.autoregressive_net.blocks.2.batch_norm_layers   | ModuleList                          | 32    
28  | model.flow._transform._transforms.1.autoregressive_net.blocks.2.batch_norm_layers.0 | BatchNorm1d                         | 16    
29  | model.flow._transform._transforms.1.autoregressive_net.blocks.2.batch_norm_layers.1 | BatchNorm1d                         | 16    
30  | model.flow._transform._transforms.1.autoregressive_net.blocks.2.linear_layers       | ModuleList                          | 144   
31  | model.flow._transform._transforms.1.autoregressive_net.blocks.2.linear_layers.0     | MaskedLinear                        | 72    
32  | model.flow._transform._transforms.1.autoregressive_net.blocks.2.linear_layers.1     | MaskedLinear                        | 72    
33  | model.flow._transform._transforms.1.autoregressive_net.blocks.2.dropout             | Dropout                             | 0     
34  | model.flow._transform._transforms.1.autoregressive_net.blocks.3                     | MaskedResidualBlock                 | 176   
35  | model.flow._transform._transforms.1.autoregressive_net.blocks.3.batch_norm_layers   | ModuleList                          | 32    
36  | model.flow._transform._transforms.1.autoregressive_net.blocks.3.batch_norm_layers.0 | BatchNorm1d                         | 16    
37  | model.flow._transform._transforms.1.autoregressive_net.blocks.3.batch_norm_layers.1 | BatchNorm1d                         | 16    
